,University_name,Region,Founded_year,Motto,UK_rank,World_rank,CWUR_score,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students,Student_satisfaction,Student_enrollment,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year_(in_pounds),Latitude,Longitude,Website
0,University of Cambridge,East of England,1209.0,"From here, light and sacred draughts",1.0,4.0,94.1,6.5,21750.0,23187.0,20.20%,85.50%,"20,000-24,999","over-5,000",Public,Trimesters,Urban,12000.0,52.2054,0.1132,www.cam.ac.uk
1,University of Oxford,South East England,1096.0,The Lord is my light,2.0,2.0,93.3,6.5,21770.0,19888.0,16.80%,86.50%,"25,000-29,999","over-5,000",Public,Trimesters,Urban,11500.0,51.7548,-1.2544,www.ox.ac.uk
2,University of St Andrews,Scotland,1413.0,Ever to excel,3.0,86.0,75.8,6.5,17040.0,15440.0,40.40%,87.90%,"10,000-14,999","1,000-1,499",Public,Semesters,Suburban,12000.0,56.3417,-2.7943,www.st-andrews.ac.uk
3,Imperial College London,London,1907.0,Knowledge is the adornment and safeguard of the Empire,4.0,8.0,86.6,6.5,23500.0,29900.0,41.40%,77.90%,"15,000-19,999","4,000-4,499",Public,Continuous,Urban,10700.0,51.4988,-0.1749,www.ic.ac.uk
4,Loughborough University,East Midlands,1966.0,"With Truth, Knowledge and Labour",5.0,404.0,72.8,5.5,16400.0,16400.0,22.00%,85.80%,"15,000-19,999","1,500-1,999",Public,Semesters,Suburban,9398.0,52.765,-1.2321,www.lboro.ac.uk/
5,London School of Economics and Political Science,London,1895.0,To know the causes of things,6.0,23.0,76.3,6.5,17040.0,24500.0,46.80%,68.50%,"10,000-14,999","1,500-1,999",Public,Semesters,Urban,12000.0,51.5144,-0.1165,www.lse.ac.uk
6,Durham University,North East England,1832.0,Her foundations are upon the holy hills,7.0,70.0,76.3,5.5,14900.0,18000.0,17.20%,75.00%,"15,000-19,999","1,500-1,999",Public,Trimesters,Urban,8000.0,54.765,-1.5782,www.dur.ac.uk
7,Lancaster University,North West England,1964.0,Truth lies open to all,8.0,130.0,76.1,5.5,14940.0,14200.0,29.60%,79.30%,"10,000-14,999","2,000-2,499",Public,Trimesters,Rural,8500.0,54.0104,-2.7877,www.lancs.ac.uk
8,University College London,London,1826.0,Let all come who by merit most deserve reward,9.0,14.0,88.0,6.5,15660.0,17250.0,36.10%,75.40%,"40,000-44,999","over-5,000",Public,Other,Urban,11500.0,51.5246,-0.134,www.ucl.ac.uk
9,University of Warwick,West Midlands,1965.0,Mind Moves matter,10.0,80.0,79.3,5.5,15820.0,24500.0,28.30%,79.20%,"25,000-29,999","2,500-2,999",Public,Trimesters,Suburban,9580.0,52.3793,-1.5615,www.warwick.ac.uk
10,University of Bath,South West England,1966.0,Learn each field of study according to its kind,11.0,261.0,74.8,5.5,14300.0,15000.0,21.70%,81.80%,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,11000.0,51.3782,-2.3264,www.bath.ac.uk
11,University of Exeter,South West England,1955.0,We follow the light,12.0,93.0,77.4,5.5,15500.0,15500.0,21.20%,80.10%,"25,000-29,999","2,500-2,999",Public,Semesters,Suburban,8400.0,50.7371,-3.5351,www.exeter.ac.uk
12,University of Leeds,Yorkshire and the Humber,1904.0,And Knowledge Will Be Increased,13.0,133.0,81.6,5.5,13500.0,14000.0,11.80%,80.40%,"35,000-39,999","3,500-3,999",Public,Semesters,Urban,7000.0,53.8067,-1.555,www.leeds.ac.uk
13,University of Birmingham,West Midlands,1900.0,"Through hard work, great heights are achieved",14.0,119.0,82.6,5.5,13860.0,14850.0,12.70%,77.90%,"35,000-39,999","4,000-4,499",Public,Continuous,Urban,9000.0,52.4508,-1.9305,www.bham.ac.uk
14,University of Bristol,South West England,1909.0,Learning promotes one's innate power,15.0,69.0,82.0,5.5,15200.0,14800.0,14.90%,77.20%,"25,000-29,999","3,000-3,499",Public,Semesters,Urban,7000.0,51.4584,-2.603,www.bris.ac.uk
15,University of Glasgow,Scotland,1451.0,"The Way, the Truth and the Life",16.0,76.0,80.7,5.5,14500.0,14500.0,20.80%,78.20%,"30,000-34,999","4,000-4,499",Public,Semesters,Urban,8000.0,55.8724,-4.29,www.gla.ac.uk
17,University of Manchester,North West England,1824.0,"Knowledge, wisdom, humanity",18.0,56.0,83.9,5.5,14500.0,14500.0,25.00%,77.20%,"40,000-44,999","over-5,000",Public,Semesters,Urban,9800.0,53.4668,-2.2339,www.manchester.ac.uk
18,"Royal Holloway, University of London",South East England,1849.0,"To be, rather than to seem",19.0,129.0,73.8,5.5,13200.0,13900.0,27.40%,80.60%,"10,000-14,999","1,000-1,499",Public,Semesters,Suburban,7500.0,51.4257,-0.5631,www.rhul.ac.uk
19,University of Southampton,South East England,1952.0,The Heights Yield to Endeavour,20.0,110.0,80.9,5.5,14660.0,15160.0,18.30%,78.60%,"20,000-24,999","2,500-2,999",Public,Semesters,Suburban,7200.0,50.9344,-1.3965,www.soton.ac.uk
20,University of Nottingham,East Midlands,1948.0,A city is built on wisdom,21.0,143.0,80.4,5.5,14140.0,14420.0,18.20%,78.00%,"30,000-34,999","3,000-3,499",Public,Semesters,Suburban,9840.0,52.9388,-1.1981,www.nottingham.ac.uk
21,University of York,Yorkshire and the Humber,1963.0,On the threshold of wisdom,22.0,128.0,76.4,5.5,17890.0,18240.0,23.00%,81.00%,"15,000-19,999","1,500-1,999",Public,Trimesters,Suburban,11789.0,53.9461,-1.0518,www.york.ac.uk
22,University of East Anglia UEA,East of England,1963.0,Do different,23.0,149.0,77.1,5.5,14200.0,14200.0,20.20%,79.00%,"15,000-19,999","1,500-1,999",Public,Semesters,Suburban,9840.0,52.6221,1.2411,www.uea.ac.uk
23,University of Dundee,Scotland,1967.0,My soul magnifies the Lord,24.0,185.0,76.0,5.5,12950.0,14875.0,13.90%,83.80%,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,6500.0,56.4582,-2.9821,www.dundee.ac.uk
24,University of Edinburgh,Scotland,1583.0,Seek and You Shall Find,25.0,24.0,85.0,5.5,15850.0,16500.0,28.00%,72.60%,"30,000-34,999","over-5,000",Public,Semesters,Urban,8500.0,55.9445,-3.1892,www.ed.ac.uk
26,University of Aberdeen,Scotland,1495.0,The fear of the Lord is the beginning of wisdom,27.0,172.0,76.8,5.5,13000.0,13000.0,26.80%,81.10%,"10,000-14,999","1,000-1,499",Public,Semesters,Urban,8000.0,57.1648,-2.1015,www.abdn.ac.uk
27,Newcastle University,North East England,1963.0,I look ahead,28.0,196.0,79.7,5.5,12680.0,12680.0,19.60%,78.70%,"25,000-29,999","3,000-3,499",Public,Semesters,Urban,8000.0,54.9792,-1.6147,www.newcastle.ac.uk
28,University of Liverpool,North West England,1881.0,These days of peace foster learning,29.0,157.0,80.5,5.5,13850.0,16200.0,27.00%,80.00%,"25,000-29,999","3,000-3,499",Public,Semesters,Urban,7000.0,53.4048,-2.9653,www.liverpool.ac.uk/study/international/
29,King's College London,London,1829.0,With Holiness and Wisdom,30.0,27.0,85.5,5.5,15600.0,17040.0,26.20%,72.50%,"30,000-34,999","over-5,000",Public,Semesters,Urban,10229.0,51.5115,-0.116,kcl.ac.uk
30,Swansea University,Wales,1920.0,Technical skill is bereft without culture,31.0,422.0,73.4,4.5,13800.0,15050.0,15.40%,81.50%,"20,000-24,999","1,000-1,499",Public,Trimesters,Suburban,7500.0,51.6092,-3.98,www.swan.ac.uk
31,University of Surrey,South East England,1966.0,Wonderful things happen here,32.0,342.0,74.2,5.5,13300.0,13300.0,24.40%,78.20%,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,10700.0,51.2431,-0.5895,www.surrey.ac.uk
33,Cardiff University,Wales,1997.0,"Truth, Unity and Concord",34.0,182.0,79.8,5.5,14000.0,14000.0,14.30%,77.50%,"30,000-34,999","3,000-3,499",Public,Semesters,Urban,10084.0,51.4866,-3.1789,www.cf.ac.uk
34,Queen's University Belfast,Northern Ireland,1849.0,"For so much, what shall we give back?",35.0,200.0,75.7,5.5,13280.0,13430.0,8.70%,77.40%,"20,000-24,999","1,500-1,999",Public,Semesters,Urban,6000.0,54.5844,-5.934,www.qub.ac.uk
35,University of Strathclyde,Scotland,1964.0,The Place of Useful Learning,36.0,384.0,74.3,5.5,14250.0,13850.0,13.20%,78.90%,"20,000-24,999","1,500-1,999",Public,Semesters,Urban,9000.0,55.8621,-4.2424,www.strath.ac.uk
36,University of Essex,East of England,1964.0,"Thought the harder, heart the keener",37.0,403.0,71.7,5.5,12500.0,14450.0,30.20%,80.30%,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,8320.0,51.8777,0.9472,essex.ac.uk
